date, year, month, unixstart, unixend, new, accepted, dropped, open
01/2012, 2012, 1, 1325376000, 1328054400, 10, 2, 0, 8
02/2012, 2012, 2, 1328054400, 1330560000, 70, 26, 0, 52
03/2012, 2012, 3, 1330560000, 1333238400, 70, 44, 0, 78
04/2012, 2012, 4, 1333238400, 1335830400, 64, 26, 0, 116
05/2012, 2012, 5, 1335830400, 1338508800, 75, 71, 0, 120
06/2012, 2012, 6, 1338508800, 1341100800, 93, 89, 0, 124
07/2012, 2012, 7, 1341100800, 1343779200, 32, 43, 0, 113
08/2012, 2012, 8, 1343779200, 1346457600, 34, 23, 10, 114
09/2012, 2012, 9, 1346457600, 1349049600, 23, 28, 13, 96
10/2012, 2012, 10, 1349049600, 1351728000, 17, 19, 21, 73
11/2012, 2012, 11, 1351728000, 1354320000, 31, 30, 15, 59
12/2012, 2012, 12, 1354320000, 1356998400, 18, 24, 17, 36
01/2013, 2013, 1, 1356998400, 1359676800, 8, 9, 19, 16
02/2013, 2013, 2, 1359676800, 1362096000, 7, 4, 2, 17
03/2013, 2013, 3, 1362096000, 1364774400, 2, 0, 0, 19
04/2013, 2013, 4, 1364774400, 1367366400, 2, 0, 0, 21
05/2013, 2013, 5, 1367366400, 1370044800, 40, 0, 0, 61
06/2013, 2013, 6, 1370044800, 1372636800, 22, 0, 1, 82
07/2013, 2013, 7, 1372636800, 1375315200, 21, 0, 0, 103
08/2013, 2013, 8, 1375315200, 1377993600, 31, 2, 3, 129
09/2013, 2013, 9, 1377993600, 1380585600, 36, 13, 26, 126
