number, name, openStr, openUnix, closedStr, closedUnix, state, comments, lastcomment, lastUnix, readyForReview
"657393", "skstream/0.3.6-1", "Wed, 25 Jan 2012 22:42:01 UTC", "1327549321.0", "Mon, 06 Feb 2012 18:42:33 +0100", "1328571753.0", "accepted", "15", "Mon, 06 Feb 2012 18:42:33 +0100", "1328571753.0", "False"
"657428", "surf", "Thu, 26 Jan 2012 07:51:01 UTC", "1327582261.0", "Thu, 9 Feb 2012 16:25:20 +0100", "1328822720.0", "accepted", "8", "Thu, 9 Feb 2012 16:25:20 +0100", "1328822720.0", "False"
"657649", "wfmath/0.3.12-1", "Fri, 27 Jan 2012 18:21:02 UTC", "1327706462.0", "Wed, 01 Feb 2012 00:03:59 +0100", "1328072639.0", "accepted", "4", "Wed, 01 Feb 2012 00:03:59 +0100", "1328072639.0", "False"
"657783", "haildb", "Sat, 28 Jan 2012 18:57:01 UTC", "1327795021.0", "Sun, 29 Jan 2012 14:27:38 +0100", "1327865258.0", "accepted", "4", "Sun, 29 Jan 2012 14:27:38 +0100", "1327865258.0", "False"
"657891", "varconf/0.6.7-1", "Sun, 29 Jan 2012 17:15:07 UTC", "1327875307.0", "Fri, 03 Feb 2012 10:20:27 +0100", "1328282427.0", "accepted", "2", "Fri, 03 Feb 2012 10:20:27 +0100", "1328282427.0", "False"
"658032", "libgxps/0.2.1-1", "Mon, 30 Jan 2012 21:17:18 UTC", "1327976238.0", "Sat, 24 Mar 2012 12:59:39 -0400", "1332608379.0", "accepted", "5", "Sat, 24 Mar 2012 12:59:39 -0400", "1332608379.0", "False"
"658065", "atlas-cpp/0.6.2-1", "Tue, 31 Jan 2012 03:15:05 UTC", "1327997705.0", "Sat, 03 Mar 2012 17:50:58 +0100", "1330815058.0", "accepted", "14", "Sat, 03 Mar 2012 17:50:58 +0100", "1330815058.0", "False"
"658105", "qastools", "Tue, 31 Jan 2012 12:24:02 UTC", "1328030642.0", "Tue, 31 Jan 2012 14:37:04 +0100", "1328038624.0", "accepted", "4", "Tue, 31 Jan 2012 14:37:04 +0100", "1328038624.0", "False"
"658114", "mysql-sandbox/3.0.25-1", "Tue, 31 Jan 2012 12:57:02 UTC", "1328032622.0", "Thu, 25 Oct 2012 04:20:15 +0000", "1351153215.0", "dropped", "3", "Thu, 25 Oct 2012 04:20:15 +0000", "1351153215.0", "False"
"658160", "libapache2-mod-socket-policy-server/0.0.8-1", "Tue, 31 Jan 2012 17:48:02 UTC", "1328050082.0", "", "0", "open", "12", "Tue, 14 Aug 2012 12:35:00 -0700", "1344962100.0", "True"
"658199", "apt-build/0.12.39", "Tue, 31 Jan 2012 23:12:05 UTC", "1328069525.0", "Fri, 03 Feb 2012 17:43:56 +0100", "1328309036.0", "accepted", "2", "Fri, 03 Feb 2012 17:43:56 +0100", "1328309036.0", "False"
"658204", "bibtool", "Wed,  1 Feb 2012 00:21:02 UTC", "1328073662.0", "Sun, 19 Feb 2012 23:10:33 -0600", "1329711033.0", "accepted", "8", "Sun, 19 Feb 2012 23:10:33 -0600", "1329711033.0", "False"
"658235", "libjreen/1.1.0-1", "Wed,  1 Feb 2012 10:45:01 UTC", "1328111101.0", "Sun, 30 Sep 2012 16:20:10 +0000", "1349036410.0", "dropped", "7", "Sun, 30 Sep 2012 16:20:10 +0000", "1349036410.0", "False"
"658291", "mercator/0.3.0-1", "Wed,  1 Feb 2012 20:57:01 UTC", "1328147821.0", "Tue, 28 Feb 2012 19:23:18 +0100", "1330474998.0", "accepted", "5", "Tue, 28 Feb 2012 19:23:18 +0100", "1330474998.0", "False"
"658306", "preload/0.6.4-2", "Wed,  1 Feb 2012 22:54:02 UTC", "1328154842.0", "Sat, 3 Mar 2012 00:37:58 +0100", "1330753078.0", "accepted", "5", "Sat, 3 Mar 2012 00:37:58 +0100", "1330753078.0", "False"
